call_type,call_sub_type,category,count
ENQUIRY,DETAILS RELATED,Patient/PID Search of sent sample,1
ENQUIRY,TEST RELATED,COUNSELLING / REPORT CONSULTATION,1
REQUEST,REPORT RELATED,TELEPHONIC RESULTS,1
ENQUIRY,TEST RELATED,UNAVAILABLE TESTS,1
ENQUIRY,MARKETING RELATED,HEALTH PACKAGE OFFERS,1
ENQUIRY,DIGITAL MARKETING,ONLINE PAYMENT,1
ENQUIRY,DETAILS RELATED,FACILITIES RELATED,1
REQUEST,REGISTRATION RELATED,DEMOGRAPHIC ALTERATION,1
COMPLAINT,PROCESSING LAB RELATED,TYPING RELATED,1
COMPLAINT,IT RELATED,LABMATE NOT WORKING,1
REQUEST,REGISTRATION RELATED,REPORT REQUIRED AT DIFFERENT LOCATION,1
COMPLAINT,LOGISTIC RELATED,LATE PICKUP,1
COMPLAINT,SR/TSO RELATED,WRONG SCAN,1
ENQUIRY,REPORT RELATED,REPORT AVAILABILITY ONLINE,1
ENQUIRY,REPORT RELATED,DELAY INFO,1
COMPLAINT,SALES TEAM RELATED,OTHERS,1
COMPLAINT,HOME COLLECTION RELATED,PATIENT DEMOGRAPHICS NOT/WRONGLY MEN,1
COMPLAINT,SR/TSO RELATED,EXTRA TEST REGD,1
REQUEST,DEPARTMENT RELATED,AUTHENTICATION,1
ENQUIRY,OTHERS,BLOCKED CC,1
COMPLAINT,CUSTOMER CARE RELATED,INCORRECT DOCUMENTATION CONVEYED TO CORPORATE CUSTOMER,1
COMPLAINT,FINANCE RELATED,PAYMENT NOT UPDATED AGAINST LAB NO.,1
COMPLAINT,CUSTOMER CARE RELATED,INCORRECT TEST COST CONVEYED (INDIVIDUAL TEST COST),1
COMPLAINT,MARKETING RELATED,APPLICATION RELATED,1
COMPLAINT,HOME COLLECTION RELATED,TEST NOT/WRONGLY MEN,1
COMPLAINT,FINANCE RELATED,BEHAVIOUR RELATED,1
COMPLAINT,PROCESSING LAB RELATED,DISCOUNT RELATED,1
COMPLAINT,HOME COLLECTION RELATED,RCC / ONE TODAY NOT MEN,1
ENQUIRY,DETAILS RELATED,HOME COLLECTION AVAILABILITY,1
COMPLAINT,HOME COLLECTION RELATED,UNTRACABLE SAMPLES,1
ENQUIRY,DIGITAL MARKETING,ORDER CANCELLATION,1
COMPLAINT,SALES TEAM RELATED,DISAPPROPRIATION RELATED,1
ENQUIRY,REPORT RELATED,REPORT STATUS,1
COMPLAINT,HLM RELATED,LATE OPENING / EARLY CLOSING RELATED,1
COMPLAINT,HOME COLLECTION RELATED,BOOKING RELATED,1
COMPLAINT,PROCESSING LAB RELATED,BRIEF CLINICAL DETAILS NOT AVAIL(BCD)/USG NOT ATTACHED,1
ENQUIRY,REPORT RELATED,DISPATCH DETAIL,1
ENQUIRY,REPORT RELATED,DETAILS / RESULT VERIFIED,1
REQUEST,REPORT RELATED,URGENT TESTING,1
ENQUIRY,TEST RELATED,TSO/CNI,1
ENQUIRY,TEST RELATED,TEST INQUIRY/TEST PRICE,1
COMPLAINT,IT RELATED,LABMATE MISC.,1
COMPLAINT,SR/TSO RELATED,LATE SCAN,1
COMPLAINT,CUSTOMER CARE RELATED,NO INFORMATION PROVIDED,1
REQUEST,ESCALATION,TEST DETAILING,1
ENQUIRY,OTHERS,FEEDBACK-SUGGESTION,1
COMPLAINT,PROCESSING LAB RELATED,TAT CROSSED,1
REQUEST,DEPARTMENT RELATED,DELETION OF TEST,1
COMPLAINT,HOME COLLECTION RELATED,TYPE/SITE OF SPECIMEN NOT MEN,1
COMPLAINT,CUSTOMER CARE RELATED,RUDE ON CALL,1
ENQUIRY,OTHERS,VACANCY RELATED,1
COMPLAINT,HOME COLLECTION RELATED,BARCODE RELATED,1
ENQUIRY,OTHERS,CALL DISCONNECTED,1
ENQUIRY,OTHERS,MISC.,1
COMPLAINT,PROCESSING LAB RELATED,WRONG SCAN,1
COMPLAINT,HOME COLLECTION RELATED,NULL,1
COMPLAINT,MARKETING RELATED,NEW CAMPAIGN INFO. NOT RECEIVED,1
COMPLAINT,PROCESSING LAB RELATED,TECHNICIAN RELATED ERROR,1
REQUEST,ESCALATION,REPORT COMPARISON/QUERY,1
REQUEST,OTHERS,HOME COLLECTION RE-SCHEDULING,1
COMPLAINT,FINANCE RELATED,INFORMATION NOT RECEIVED,1
COMPLAINT,COLLECTION CENTRE,DRINKING WATER WAS NOT AVAILABLE,1
COMPLAINT,HLM RELATED,PAYMENT / BILL RELATED ISSUE,1
COMPLAINT,IT RELATED,INTERNET ISSUE,1
COMPLAINT,COLLECTION CENTRE,DISCOUNT RELATED,1
COMPLAINT,SALES TEAM RELATED,INFORMATION NOT PERCOLATED TO CLIENT,1
ENQUIRY,REPORT RELATED,FOLLOW UP ON E-MAILS,1
COMPLAINT,CUSTOMER CARE RELATED,TAGGED UNDER INCORRECT STATUS,1
ENQUIRY,DETAILS RELATED,SALES REPRESENTATIVE CONTACT NUMBER,1
REQUEST,REGISTRATION RELATED,ENTRY TO BE DONE,1
COMPLAINT,HLM RELATED,TECHNICIAN RELATED ERROR,1
COMPLAINT,CUSTOMER CARE RELATED,WRONG COMMITMENT,1
COMPLAINT,FINANCE RELATED,PAYMENT NOT UPDATED AGAINST CC CREDIT,1
REQUEST,REPORT RELATED,E-MAIL,1
COMPLAINT,SR/TSO RELATED,TEST NOT/WRONGLY REGD,1
COMPLAINT,HOME COLLECTION RELATED,WRONG / INCOMPLETE INFO. PROVIDED -TECH/STAFF,1
ENQUIRY,REPORT RELATED,SNR UPDATION,1
COMPLAINT,HOME COLLECTION RELATED,PAYMENT / BILL RELATED ISSUE,1
ENQUIRY,REPORT RELATED,DEFICIENCY DETAILS UPDATION,1
COMPLAINT,HOME COLLECTION RELATED,SNR INFO. NOT MEN,1
COMPLAINT,HOME COLLECTION RELATED,DOCTOR NAME NOT/WRONGLY MEN,1
COMPLAINT,HOME COLLECTION RELATED,BEHAVIOUR RELATED,1
COMPLAINT,COLLECTION CENTRE,BRIEF CLINICAL DETAILS NOT AVAIL(BCD),1
COMPLAINT,COLLECTION CENTRE,STAFFING RELATED,1
COMPLAINT,COLLECTION CENTRE,PAYMENT / BILL RELATED ISSUE,1
